country,country_code,indicator_name,indicator_code,year_2019,year_2020,year_2021
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,426.4087626,435.4692516,461.1374902
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,46328.67184,43258.26387,51987.93905
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,16358.47415,16293.80003,18751.02651
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,84121.93103,85656.32267,91991.60046
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,,,
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,14631.94688,13094.45953,16265.09598
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,10143.8382,10408.66976,12556.33312
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2238.811005,2288.119498,2549.041297
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1538.687947,1539.130559,1666.932734
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,575.8827908,524.6666754,577.2092152
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2288.808138,1838.448139,2290.382891
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6438.060183,5307.215228,6104.136709
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1510.797358,1519.586823,1577.471027
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3434.562745,2924.101807,3293.233054
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,12669.34107,12132.87688,12472.44373
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,10429.33204,8851.424959,10063.6913
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,9139.415856,9499.590202,
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,19024.17715,16109.86175,17717.59648
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,89871.91314,83329.45877,86568.76964
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,29417.13867,28036.18945,31551.81641
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,23664.84786,22992.87938,26821.24523
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,46793.68676,46772.82535,51203.55447
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,2876.043664,2917.996281,3150.436729
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,8561.587011,7003.469891,7653.17187
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,59592.98069,60915.4244,68007.75667
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,8173.338007,7167.919159,8476.752157
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4022.150184,3337.252512,3690.627878
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,8169.167837,8262.479253,9771.648206
Early-demographic dividend,EAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3489.17025,3215.092925,3703.900123
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,11482.53168,11475.46251,13041.78119
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),NY.GDP.PCAP.CD,8129.886017,7441.465307,8758.938553
Europe & Central Asia,ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,24870.26199,23984.27873,27152.47123
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,6233.258167,5645.19929,5965.132871
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,2869.576588,3398.801432,3698.834981
